[2016-05-26 17:01:40] my_logger.INFO: Ticket list [] []
[2016-05-26 17:03:53] my_logger.INFO: Ticket list [] []
[2016-05-26 17:06:03] my_logger.INFO: Ticket list [] []
[2016-05-26 17:06:27] my_logger.INFO: Ticket list [] []
[2016-05-26 17:06:42] my_logger.INFO: Ticket list [] []
[2016-05-26 17:10:39] my_logger.INFO: Ticket list [] []
[2016-05-26 17:12:28] my_logger.INFO: Ticket list [] []
[2016-05-26 17:12:39] my_logger.INFO: Ticket list [] []
[2016-05-26 17:12:39] my_logger.INFO: Ticket list [] []
[2016-05-26 17:12:58] my_logger.INFO: Ticket list [] []
[2016-05-26 17:13:23] my_logger.INFO: Ticket list [] []
[2016-05-26 17:13:23] my_logger.INFO: Ticket list [] []
[2016-05-26 17:13:49] my_logger.INFO: Ticket list [] []
[2016-05-26 17:22:11] my_logger.INFO: Ticket list [] []
[2016-05-26 17:22:32] my_logger.INFO: Ticket list [] []
[2016-05-27 12:11:26] my_logger.INFO: Ticket list [] []
[2016-05-27 12:11:47] my_logger.INFO: Ticket list [] []
[2016-05-27 13:03:51] my_logger.INFO: home page loaded [] []
[2016-05-27 13:04:25] my_logger.INFO: home page loaded [] []
[2016-05-27 13:05:33] my_logger.INFO: home page loaded [] []
[2016-05-27 13:05:53] my_logger.INFO: home page loaded [] []
[2016-05-27 13:06:36] my_logger.INFO: home page loaded [] []
[2016-05-27 13:06:39] my_logger.INFO: home page loaded [] []
[2016-05-27 13:06:48] my_logger.INFO: home page loaded [] []
[2016-05-27 13:06:52] my_logger.INFO: home page loaded [] []
[2016-05-27 13:07:30] my_logger.INFO: home page loaded [] []
[2016-05-27 13:08:21] my_logger.INFO: home page loaded [] []
[2016-05-27 13:08:37] my_logger.INFO: home page loaded [] []
[2016-05-27 13:20:58] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:08] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:14] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:19] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:28] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:29] my_logger.INFO: home page loaded [] []
[2016-05-27 13:21:52] my_logger.INFO: home page loaded [] []
[2016-05-27 13:22:43] my_logger.INFO: home page loaded [] []
[2016-05-27 13:22:46] my_logger.INFO: greet answer page [] []
[2016-05-27 13:24:00] my_logger.INFO: greet answer page [] []
[2016-05-27 13:27:25] my_logger.INFO: greet answer page [] []
[2016-05-27 13:27:36] my_logger.INFO: greet answer page [] []
[2016-05-27 13:27:59] my_logger.INFO: greet answer page [] []
[2016-05-27 13:28:26] my_logger.INFO: greet answer page [] []
[2016-05-27 13:28:36] my_logger.INFO: greet answer page [] []
[2016-05-27 13:29:01] my_logger.INFO: greet answer page [] []
[2016-05-27 13:29:08] my_logger.INFO: greet answer page [] []
[2016-05-27 13:29:20] my_logger.INFO: home page loaded [] []
[2016-05-27 13:29:21] my_logger.INFO: home page loaded [] []
[2016-05-27 13:29:33] my_logger.INFO: greet answer page [] []
[2016-05-27 13:29:47] my_logger.INFO: greet answer page [] []
[2016-05-27 13:31:52] my_logger.INFO: greet answer page [] []
[2016-05-27 13:32:41] my_logger.INFO: greet answer page [] []
[2016-05-27 13:32:46] my_logger.INFO: home page loaded [] []
[2016-05-27 13:32:46] my_logger.INFO: home page loaded [] []
[2016-05-27 13:33:37] my_logger.INFO: home page loaded [] []
